fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Feb,02,ANDHRA PRADESH,0210,CHITTOOR,7390557,239.709940614554,51,1939,12877.147723304,21996,22,64591,7390447,2295245,103766,244966,11688,1715.55893,32308.3427681541,143700,235439,196654,363098,5240,257633,491204,86587,17715.6361148501,4452367,72,52.89,53.48,100.18,NA
2022-2023,Feb,02,ANDHRA PRADESH,0221,NANDYAL,6466125,202.194805725402,40,2097,11759.317125888,10256,34,33819,6466095,1862080,111009,239139,12449,1376.91311,26210.3384591579,159971,277814,204470,391525,1477,285708,571480,44075,13074.1082232699,3886030,37,59.01,72.59,100.42,NA
2022-2023,Dec,02,ANDHRA PRADESH,0202,VIZIANAGARAM,14048779,201.083677078984,47,7794,10386.512555203,6316,8,58662,14048779,1693831,74171,366290,17625,1751.19005,40387.5040031031,297460,462621,343225,630194,2019,379021,894281,64978,28249.8013979001,9707513,56,22.96,72.94,100.27,NA
2022-2023,Dec,02,ANDHRA PRADESH,0208,PRAKASAM,14109078,199.177803794157,45,4449,20994.257163909,11106,20,46840,14109019,3637434,201542,349462,20204,2151.74924,51248.0405850093,311638,549278,382820,722703,2523,439913,1092621,57946,28102.0341811003,8020210,44,25.13,76.32,104.2,NA
2022-2023,Dec,02,ANDHRA PRADESH,0210,CHITTOOR,6546402,241.761320456553,48,1837,11136.200589171,13276,28,70886,6546304,2034627,103606,215377,11644,1422.97349,28385.6050706711,135904,221683,196047,362145,3386,256301,791730,84162,15826.4309915001,3929559,71,54.01,56.24,100.19,NA
2022-2023,Dec,02,ANDHRA PRADESH,0213,KURNOOL,6865666,219.73190320502,39,2290,8323.099417819,7397,45,36776,6865666,1428581,102011,65217,6075,1655.50148,25064.659467319,174848,313299,249492,488709,860,312212,930470,44173,15086.0585695,3753896,48,46.21,74.67,100.24,NA
2022-2023,Dec,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,9341576,233.802298868442,49,2865,15690.057523556,9557,1,55227,9341555,211004,9712,8444655,385566,992.44662,38523.2744836159,187115,342830,214850,422131,9268,239549,595919,64784,21840.7703400599,4922099,75,68.34,84.86,101.56,NA
2022-2023,Dec,02,ANDHRA PRADESH,0217,ELURU,11758024,203.043864561872,45,3452,8764.002457327,12703,8,45504,11491085,4205987,198784,1071740,49947,841.19253,32937.1380514166,254212,429827,301085,556508,1822,354114,920475,58207,23331.9430640896,6573386,55,57.07,68.05,103.92,NA
2022-2023,Dec,02,ANDHRA PRADESH,0226,KAKINADA,5413464,232.325907502359,35,3504,7473.485821907,6810,14,27358,5413424,1576547,91976,125661,8202,670.39955,20720.6718068575,150990,219390,201588,338933,616,270491,608957,34168,12576.7864349505,2758220,49,50.91,65,102.87,NA
2022-2023,March,02,ANDHRA PRADESH,0204,EAST GODAVARI,5401000,214.055454930853,56,2150,9348.701627772,6319,5,24370,5782270,2221771,72349,106960,2890,1097.35164,22823.3176216022,102071,145701,121018,194466,10394,185694,297990,30689,12377.2643538302,3147639,54,51.95,61.36,100.96,NA
2022-2023,March,02,ANDHRA PRADESH,0210,CHITTOOR,7627000,244.498232342954,53,1985,14469.153668024,25254,20,62450,7856636,2430351,103818,259677,11700,1972.83039,35651.3201996441,146892,241397,196803,363320,8519,258421,483826,87704,19209.3361416201,4738867,72,52.96,53.96,100.17,NA
2022-2023,March,02,ANDHRA PRADESH,0213,KURNOOL,8734000,228.151410142523,47,2615,9915.365955484,14026,41,32782,9156378,1903301,102459,97051,6093,2326.99748,33132.7689604638,192921,349799,251008,491153,8165,315843,621615,46808,20890.4055249798,4998324,48,46.37,74.31,100.19,NA
2022-2023,March,02,ANDHRA PRADESH,0217,ELURU,13910000,211.267693237794,52,3719,10181.999696629,15571,2,45420,14223985,5124917,199614,1397625,50474,1270.43829,41503.1229826189,271506,463329,303509,560552,6694,359960,661029,60991,30050.6849959899,8196646,55,56.38,68.04,103.19,NA
2022-2023,March,02,ANDHRA PRADESH,0219,BAPATLA,6862000,203.654597901261,43,2239,7140.301820431,14287,1,28954,7284191,2621127,135663,258645,13468,972.31071,22947.2024218409,168385,294942,201850,374031,7787,254757,459332,43241,14834.5898914099,3968173,22,64.65,75.74,105.79,NA
2022-2023,March,02,ANDHRA PRADESH,0220,PALNADU,7511000,191.508179438923,40,2229,11901.575502455,18024,32,22821,7822907,1960424,114492,596043,35572,1047.84247,27930.9247473551,191518,336122,241269,435406,3370,306368,545865,40845,14981.5067749001,4196691,18,63.35,71.29,107.22,NA
2022-2023,March,02,ANDHRA PRADESH,0221,NANDYAL,6745000,211.718715776643,43,2162,12002.40355354,11657,31,33191,7042391,2019434,111047,259669,12459,1584.49152,28496.9548587099,163582,285369,204666,391843,4705,286624,564608,44848,14910.0597851699,4221702,36,59.09,73.27,100.4,NA
2022-2023,Aug,02,ANDHRA PRADESH,0204,EAST GODAVARI,3117593,214.856717184698,38,1822,5858.709351516,107,10,23380,3117593,1248582,71626,57032,2845,524.02607,13081.093396496,81702,113036,118982,191423,387,181252,518326,23487,6698.35797497996,1709970,46,58.12,77.22,101.11,NA
2022-2023,Aug,02,ANDHRA PRADESH,0208,PRAKASAM,13413844,193.869792696484,43,4309,19179.225761879,2505,20,49029,13413810,3444297,201403,321912,20175,996.04477,46180.5961715792,306241,538984,382395,722025,1653,438991,1166350,51534,26005.3256397002,7598788,37,24.33,89.05,104.47,NA
2022-2023,Aug,02,ANDHRA PRADESH,0211,Y.S.R,5377190,211.000805201785,41,2038,8281.354211591,822,15,48477,5377036,1105465,79129,79731,5211,955.68918,20582.6326475808,129874,206818,190377,353468,1182,256840,759953,49299,11345.5892559898,3482415,51,47.92,81.47,100.06,NA
2022-2023,Aug,02,ANDHRA PRADESH,0212,ANANTAPUR,7743605,209.520293368999,44,3648,15696.678147958,423,0,57967,7743586,1523028,91766,285369,16667,1055.4629,32976.5251524387,175053,309527,248316,463643,1223,313384,1075406,58390,16224.3841044807,4340578,53,46.13,86.69,100.29,NA
2022-2023,Aug,02,ANDHRA PRADESH,0217,ELURU,10443508,193.808556714611,41,3330,8303.200523103,2131,9,52286,10214977,3774972,198363,958626,49519,362.0115,28462.7115155325,245878,414386,299677,554150,862,351670,1044258,54417,19797.4994924295,5818350,52,66.09,87.21,104.48,NA
2022-2023,Nov,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1115796,197.898107713361,45,168,1560.13036768,327,0,4108,1115312,90727,4247,6907,459,543.97596,4311.28767078005,24554,34979,30155,48176,248,37722,82632,4435,2207.18134310005,819759,42,34.16,79.17,100.18,NA
2022-2023,Nov,02,ANDHRA PRADESH,0205,WEST GODAVARI,2951176,225.997379736846,31,1313,7354.908490027,10419,2,28709,3215303,912322,61156,22046,1464,569.85647,15191.2654906272,101726,154535,127861,220452,193,186307,604738,39128,7266.50053060019,1752309,44,62.9,57.09,102.56,NA
2022-2023,Nov,02,ANDHRA PRADESH,0210,CHITTOOR,6275693,240.770382844243,47,1811,10196.195552494,12508,28,70299,6275607,1957813,103515,204185,11628,1277.18665,26583.1852021941,133162,216743,195797,361751,2759,255852,831634,82807,15109.8029997001,3772324,70,54.09,57.76,100.2,NA
2022-2023,Nov,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,9025807,230.793124168465,48,2825,14988.399658356,7959,2,56170,9025786,199082,9709,8164328,385391,854.35504,36673.6481885159,185871,340240,214728,421931,7911,239245,609402,64129,20830.8934901599,4748966,75,70.14,86.69,101.51,NA
2022-2023,Nov,02,ANDHRA PRADESH,0215,ANAKAPALLI,8287699,190.682935749627,44,3491,9368.3140929,3148,28,27712,8287672,679761,33600,316791,16218,694.5616,25866.0519677999,187797,278792,232665,381126,1011,286680,634055,30860,15803.1762748999,5701494,41,28.27,76.5,100.09,NA
2022-2023,Nov,02,ANDHRA PRADESH,0216,KONASEEMA,4563511,243.750302120848,38,2779,5611.982154697,8658,1,19977,4563505,2247349,115326,37356,2145,517.16585,17252.705229497,120086,172896,150094,246014,925,220525,516021,28635,11123.5572248,2889348,35,69.8,71.76,101.64,NA
2022-2023,Nov,02,ANDHRA PRADESH,0219,BAPATLA,5673443,203.189188302588,35,2088,4624.116742111,7950,1,33491,5673443,2082193,135429,193221,13402,609.37627,16761.315792621,158264,276009,201073,372902,864,252477,660243,41441,11527.82278051,3075069,21,70.17,80.97,107.48,NA
2022-2023,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13200286,199.47268607665,45,7656,9196.877700344,976,15,58662,13200286,1531042,74120,332084,17605,1300.50255,36828.345304344,292844,452739,342897,629700,1000,378094,920470,59638,26330.965054,9135697,53,22.86,87.8,100.29,NA
2022-2023,Sep,02,ANDHRA PRADESH,0209,NELLORE,7525660,194.922537983546,41,1824,14709.794034032,3723,4,44724,7525641,2179132,128033,361525,23351,1207.42458,30586.3890507623,180064,272908,250798,434390,2400,335818,1045631,48447,14669.1704367303,4605318,28,47.13,70.74,101.37,NA
2022-2023,Sep,02,ANDHRA PRADESH,0213,KURNOOL,6331779,219.192364872497,37,2207,7626.222417719,2841,46,38113,6331779,1333154,101861,58133,6073,1315.67725,22820.6757963191,169023,301716,248852,487643,569,310978,979421,40954,13878.7761286001,3471922,44,47.68,80.8,100.26,NA
2022-2023,Sep,02,ANDHRA PRADESH,0219,BAPATLA,5514611,201.25358280031,35,2067,4624.116742111,2807,3,37399,5514611,2033179,135361,183989,13377,516.18062,16238.649577111,156855,273579,200854,372573,736,252066,667583,40206,11098.352215,2979968,19,72.87,85.78,107.75,NA
2022-2023,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,7328611,194.427464109173,45,2460,8330.64244547,1876,26,45023,7328558,2881838,152069,531491,30417,697.18896,23276.56088064,161242,249372,219484,391001,3417,274701,794273,46899,14248.72947517,4628487,53,52.03,85.07,104.52,NA
2022-2023,Oct,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1082101,197.162903726555,44,166,1560.13036768,305,0,4046,1081617,87755,4247,6755,459,413.23598,4105.91383208005,24253,34505,30147,48162,210,37661,83600,4351,2132.54748440005,793279,41,34.48,84.03,100.19,NA
2022-2023,Oct,02,ANDHRA PRADESH,0210,CHITTOOR,5981562,239.831433850109,45,1782,10196.195552494,8445,28,73420,5981476,1873936,103427,192826,11601,1082.19313,25623.8483386941,130736,212272,195557,361356,2118,255466,838507,81865,14345.4596562001,3601021,70,56.38,61.41,100.22,NA
2022-2023,Oct,02,ANDHRA PRADESH,0212,ANANTAPUR,8128005,215.480759217313,44,3782,15732.906195608,7909,0,52834,8127947,1590509,91808,300560,16683,1664.40375,34911.4718499888,181671,323701,248601,464108,1635,313852,1045107,60743,17514.1619043808,4548748,54,46.5,83.38,100.28,NA
2022-2023,Oct,02,ANDHRA PRADESH,0219,BAPATLA,5574051,202.701188623857,35,2081,4624.116742111,6277,1,34502,5574051,2049377,135371,187908,13392,516.18062,16438.964993611,157449,274557,200950,372724,783,252254,662930,40779,11298.6676315,3016433,20,72.14,83.93,107.64,NA
2022-2023,Oct,02,ANDHRA PRADESH,0220,PALNADU,6106063,183.798808269816,34,1933,8064.192989118,11081,35,28349,6105820,1518742,113870,461175,35264,555.78343,19842.4008142181,175271,306973,239091,432278,488,300871,888996,39430,11222.4243951001,3294599,18,75.53,85.94,109.91,NA
2022-2023,Oct,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5992984,209.268726356864,44,3193,10769.641448254,5244,0,41781,5992974,930984,63756,387729,23348,890.01088,24201.072688952,134759,237534,214148,402743,2293,275035,919356,47025,12541.420360698,3253655,59,40.21,83,101.64,NA
2022-2023,Oct,02,ANDHRA PRADESH,0224,TIRUPATI,7663574,198.692341322178,46,2514,8331.78375547,5638,25,42429,7663519,2989509,152177,558458,30443,708.00258,24266.61166424,164221,254404,219742,391403,4292,275168,788210,48067,15226.82532877,4839888,54,51.76,84.15,104.27,NA
2022-2023,Oct,02,ANDHRA PRADESH,0226,KAKINADA,5015543,230.620421713026,33,3441,7154.672638007,5163,15,26855,5015508,1476461,91937,113266,8197,458.69385,19180.1521886575,147569,213630,201361,338593,395,269677,717957,32018,11566.7857006505,2563747,46,54.17,73.02,102.74,NA
2022-2023,May,02,ANDHRA PRADESH,0207,GUNTUR,1630322,122.620608531215,27,569,943.826791449,52,11,20928,1630319,774322,67600,44580,4176,84.08119,3027.01506024902,59281,99294,80510,142955,18,130085,425996,20980,1999.10707880002,927321,13,91.44,93.19,111.48,NA
2022-2023,May,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,3860242,161.176249970572,33,2711,4344.347521245,30,4,40489,3860232,618054,63588,241219,23223,127.80042,10693.925119009,114217,198229,213153,401065,67,272764,972934,40519,6221.777177764,2094136,55,42.76,92.21,102.59,NA
2022-2023,May,02,ANDHRA PRADESH,0223,ANNAMAYYA,3266126,182.669093057918,32,1080,4140.136913282,21,42,45023,3266009,736412,65455,132836,12553,100.84716,10206.973092772,100756,150028,185282,321205,53,241247,757272,45044,5965.98901948996,1890833,54,57.35,92.3,100.28,NA
2022-2023,Jan,02,ANDHRA PRADESH,0209,NELLORE,9034273,197.830078841763,46,2005,16088.186434048,11504,3,40555,9034210,2582817,128461,451581,23505,1764.85551,35725.4267097784,194049,296429,252028,436190,4820,338447,679842,52059,17872.3847657304,5541991,30,47.12,68.28,101.12,NA
2022-2023,Jan,02,ANDHRA PRADESH,0216,KONASEEMA,4868796,241.158928641409,39,2807,5815.376208697,10000,1,20178,4868790,2384743,115368,39909,2146,701.65567,18258.5536804971,121858,175726,150188,246140,1461,220997,420155,30178,11741.5218018001,3082981,37,68.5,69.52,101.63,NA
2022-2023,Jan,02,ANDHRA PRADESH,0217,ELURU,12323676,201.704929041556,46,3528,8806.893237327,12941,8,45951,12044388,4398248,198969,1123762,50264,997.88481,34098.9023162167,258516,437885,301726,557629,2628,355295,797168,58892,24294.1242688897,6904540,55,57.18,68.05,103.7,NA
2022-2023,Jan,02,ANDHRA PRADESH,0224,TIRUPATI,8633278,201.958688976197,50,2658,9624.561679044,10501,23,39892,8633217,3349909,152329,641456,30514,1153.22355,28213.3170987141,171451,267299,220112,391966,12225,276025,697464,50393,17435.5318696701,5450756,55,49.21,77.87,103.68,NA
2022-2023,Jan,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,8695510,192.748152696596,51,4275,8415.878539527,9118,21,45088,8695466,1099734,45743,3301072,132805,919.82047,26096.0490928876,167448,292165,189822,368783,6332,208176,485814,54206,16760.3500833606,5119322,73,43.47,77.88,101.14,NA
2022-2023,Feb,02,ANDHRA PRADESH,0202,VIZIANAGARAM,17482706,196.403707303095,56,8144,11062.131182421,11787,3,55725,17482706,2122437,74236,458874,17640,2146.68276,47545.4966633215,308382,488975,343743,630973,6485,380243,715576,67512,34336.6827209005,12255395,56,22,73.86,100.21,NA
2022-2023,Feb,02,ANDHRA PRADESH,0211,Y.S.R,6801748,215.168837439755,47,2255,11730.723745634,13995,15,47296,6801300,1420736,79403,108420,5248,2279.60729,28644.609176424,143636,230974,191467,355016,4255,260033,505300,61291,14634.2781407901,4404016,60,43,59.85,100.05,NA
2022-2023,Feb,02,ANDHRA PRADESH,0213,KURNOOL,8347827,215.740041037026,44,2512,9357.956853905,11574,43,34391,8347827,1729335,102349,89414,6091,2027.94144,29395.5036894049,187820,339079,250691,490660,2267,314568,647896,45965,18009.6053954999,4555272,49,46.79,74.51,100.22,NA
2022-2023,Feb,02,ANDHRA PRADESH,0224,TIRUPATI,9383162,203.266820346175,53,2731,11099.010275843,17216,23,33846,9383101,3646721,152479,703810,30577,1318.67996,31490.4212884132,176461,276359,220410,392406,18336,276691,501318,51062,19072.7310525702,5937136,55,48.17,76.65,103.32,NA
2022-2023,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,13420104,170.995743099754,44,6589,13125.590460468,128,29,57709,13420104,1244240,60780,759544,38457,806.24081,36879.6378300278,304227,444136,376655,662652,2334,424430,1021683,57837,22947.8065595598,9443952,52,38.84,89.33,100.73,NA
2022-2023,July,02,ANDHRA PRADESH,0207,GUNTUR,2154692,204.26455604962,33,611,2146.866036764,169,2,22120,2154689,1024763,67685,57238,4190,232.87284,6781.004796864,63724,107621,80738,143311,90,130569,425832,22289,4401.2659201,1228665,14,87.98,89.32,109.36,NA
2022-2023,July,02,ANDHRA PRADESH,0213,KURNOOL,6110771,215.861839787484,36,2179,7422.240326107,154,46,38012,6110771,1292255,101715,52970,6066,726.85273,21339.915761907,166301,296448,248371,486843,503,309985,984140,38166,13190.8227058,3357525,41,51.94,88.89,100.24,NA
2022-2023,July,02,ANDHRA PRADESH,0216,KONASEEMA,4039172,241.650528438295,34,2721,5530.254929447,334,1,24886,4039166,2020615,115169,32945,2140,232.99789,15523.9188029469,116137,166775,149722,245460,176,219524,527588,25220,9760.66598349994,2567210,28,81.35,85.87,101.68,NA
2022-2023,July,02,ANDHRA PRADESH,0219,BAPATLA,5305365,197.728805254683,34,2054,4555.758008797,979,4,37117,5305365,1972946,135279,172692,13346,246.05861,15292.0514476971,154273,269334,200624,372212,513,251662,671882,38096,10490.2348289001,2859030,15,78.58,94.19,108.08,NA
2022-2023,April,02,ANDHRA PRADESH,0212,ANANTAPUR,2142268,125.150086393727,18,2385,5630.658474738,25,1,47821,2142262,452521,91597,80568,16577,192.00169,8503.70290851798,116037,190714,247141,461665,1,311503,1095167,47846,2681.04274377998,1214543,52,53.13,90.32,100.1,NA
2022-2023,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,2196344,102.856645775747,16,2462,2503.716113741,242,50,23019,2196329,178154,33421,87351,16069,12.96885,4775.755303341,131930,178503,230935,378765,0,283993,655401,23261,2259.0703396,1530994,31,35.89,90.97,100.03,NA
2022-2023,April,02,ANDHRA PRADESH,0218,NTR,1364385,120.991367630449,16,1394,2132.89044584,1,13,25821,1364381,568393,113064,100028,20606,9.5696,3793.24327743,80837,128795,153133,284669,0,187965,618415,25822,1650.78323159,796866,33,88.96,91.9,104.27,NA
2022-2023,March,02,ANDHRA PRADESH,0206,KRISHNA,6620000,236.202411553249,47,2362,8792.288228938,15782,0,46472,6973625,2589301,113756,103123,4564,1340.19401,26604.3526616182,147412,261050,164557,306195,2051,214579,390105,62254,16471.8704226802,3788379,34,71.21,63.67,103.12,NA
2022-2023,March,02,ANDHRA PRADESH,0209,NELLORE,10656000,204.453937758104,54,2144,18122.020011034,14418,3,39848,11314388,3195443,128851,559589,23667,2129.6833,43384.4151102644,207929,321060,253403,438166,17411,342212,594360,54266,23132.7117992304,7003641,30,43.57,65.34,100.87,NA
2022-2023,March,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10353000,202.032018386034,61,4418,10701.572907382,16083,16,40851,10722050,1336654,45770,3993933,132891,1136.5716,33500.1185347417,173161,305267,190082,369174,12675,209017,410326,56934,21661.9740273597,6400023,74,41.18,73.55,100.92,NA
2022-2023,March,02,ANDHRA PRADESH,0226,KAKINADA,6284000,230.928427212196,41,3657,9954.59901612,9149,14,26288,6591598,1914590,92045,150879,8211,1022.58744,26199.0600456706,157729,231006,201888,339366,2409,272284,455058,35437,15221.8735895506,3394832,49,51.13,64.34,103.05,NA
2022-2023,Oct,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13391153,200.228085514369,45,7693,9196.978370344,3368,10,58348,13391153,1556443,74132,337139,17607,1300.50255,37310.330200544,294359,455947,343011,629864,1127,378417,910010,61716,26812.8492802,9255352,54,23.77,85.36,100.29,NA
2022-2023,Oct,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,8222498,227.668161718907,45,2708,14899.057282576,5893,2,57439,8222477,182331,9702,7425569,384979,683.96459,34302.9841062359,181814,332229,214455,421472,5121,238661,620636,63332,18719.9622336599,4314644,75,70.74,87.36,101.6,NA
2022-2023,Oct,02,ANDHRA PRADESH,0217,ELURU,11161375,200.263924973709,43,3390,8357.464311303,9333,8,47414,10902832,3997004,198625,1009258,49771,597.20206,30789.1056677925,250331,422705,300461,555488,1281,352902,1031517,56747,21834.4392964895,6223662,54,65,79.12,104.17,NA
2022-2023,Aug,02,ANDHRA PRADESH,0202,VIZIANAGARAM,12988604,198.291782960663,44,7620,9186.389160344,387,17,55788,12988604,1505814,74061,327228,17579,761.79592,35703.519533644,290734,448121,342333,628839,889,377121,922121,56175,25755.3344533,9006405,50,22.07,90.55,100.29,NA
2022-2023,Aug,02,ANDHRA PRADESH,0207,GUNTUR,2186514,204.640206374448,34,614,2195.821711583,448,2,22579,2186511,1037905,67698,58598,4191,317.55348,6987.855814383,64233,108452,80780,143374,101,130663,425650,23027,4474.4806228,1248637,17,85.19,85.99,109.23,NA
2022-2023,Aug,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7371438,230.131288313495,41,2571,14806.341284576,138,2,61527,7371417,166508,9693,6657275,384455,441.65601,32211.934203636,176414,321268,214057,420841,2567,237963,631066,61665,16963.93690906,3855109,75,72.98,89.87,101.69,NA
2022-2023,Aug,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,7544787,195.419142245185,46,4133,7837.032557127,119,24,50244,7544783,927889,45660,2740064,132596,352.94394,22933.9267199875,162525,280802,189457,368191,2418,207362,524589,50363,14743.9502228605,4427738,71,43.97,85.95,101.31,NA
2022-2023,Sep,02,ANDHRA PRADESH,0211,Y.S.R,5616838,213.087760337257,41,2121,8303.881855591,2388,15,52774,5616672,1157285,79267,83975,5224,1376.39046,21648.7128858808,134528,214902,190872,354154,1382,257636,758301,55162,11968.4405702898,3630449,56,47.64,77.78,100.06,NA
2022-2023,Sep,02,ANDHRA PRADESH,0215,ANAKAPALLI,7826767,189.943184346456,42,3439,8925.2472329,2212,28,26606,7826752,630286,33548,295093,16188,396.56634,24188.1955525999,183153,271150,232285,380601,692,285991,645280,28818,14866.3819796999,5371949,37,27.5,82.72,100.1,NA
2022-2023,Sep,02,ANDHRA PRADESH,0216,KONASEEMA,4325701,242.580560106526,36,2750,5595.492904697,4380,1,22857,4325695,2144290,115270,35154,2143,440.16164,16528.949704197,118482,170374,149959,245821,557,220064,525555,27237,10493.2951595,2743972,33,74.71,77.88,101.72,NA
2022-2023,Sep,02,ANDHRA PRADESH,0226,KAKINADA,4893613,230.298258649601,33,3416,7140.643638007,1801,15,29461,4893613,1450190,91927,110907,8197,364.63577,18775.1849320575,146420,211603,201251,338412,287,269408,731102,31262,11269.9055240505,2502842,45,54.7,75.67,102.72,NA
2022-2023,June,02,ANDHRA PRADESH,0209,NELLORE,5449662,182.533723626839,33,1625,9993.74764334299,41,5,44679,5449650,1628559,127577,262614,23065,529.71828,20470.914992973,160322,240105,249216,432116,432,333475,1060538,44720,9947.44906963004,3307447,26,50.67,75.89,100.98,NA
2022-2023,June,02,ANDHRA PRADESH,0213,KURNOOL,5923935,204.417779950321,35,2151,2783.290396765,123,46,37284,5923935,1259953,101644,51064,6061,461.13403,15354.0008394651,164652,293163,248010,486237,408,309236,985166,37407,12109.5764127001,3257360,41,53.59,92.47,100.21,NA
2022-2023,June,02,ANDHRA PRADESH,0216,KONASEEMA,3850787,228.576277438263,33,2705,2933.998470448,165,1,24382,3850781,1936473,115132,31400,2138,157.18262,11893.1529525479,115269,165368,149625,245324,96,219246,534835,24547,8801.9718620999,2451965,27,81.82,86.69,101.71,NA
2022-2023,June,02,ANDHRA PRADESH,0220,PALNADU,5839531,173.221447199221,33,1898,4167.546709539,218,36,36518,5839355,1449719,113715,442116,35178,140.9405,14423.502447639,171844,300821,238449,431325,370,299380,942131,36736,10115.0152381,3149303,13,83.91,97.35,110.13,NA
2022-2023,Nov,02,ANDHRA PRADESH,0212,ANANTAPUR,8541045,212.984666546394,46,3891,15733.078445608,11150,0,50220,8540969,1663065,91834,317629,16690,1990.33675,35914.3695400889,185097,330792,248693,464271,2109,314045,1019050,61370,18190.9543444809,4774396,55,44.46,77.4,100.26,NA
2022-2023,Nov,02,ANDHRA PRADESH,0213,KURNOOL,6527106,219.409956276182,38,2237,7626.222417719,6598,46,36783,6527106,1366660,101929,61734,6073,1495.78369,23443.126528419,171201,306073,249094,488062,664,311517,953789,43381,14321.1204207,3575950,47,46.62,76.8,100.25,NA
2022-2023,Nov,02,ANDHRA PRADESH,0220,PALNADU,6216875,184.771830949984,35,1945,8064.192989118,13422,35,26312,6216598,1549605,113886,468802,35274,660.17776,20210.8926965181,176053,308391,239218,432465,590,301097,868556,39734,11486.5219474001,3353757,18,69.13,78.11,109.67,NA
2022-2023,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,3058222,228.517330046056,32,1323,7583.295163827,11212,2,28713,3325136,936696,61176,22878,1466,613.66794,15795.4751114272,102639,156154,127940,220589,225,186579,573611,39925,7598.51200760024,1814590,45,61.89,53.85,102.63,NA
2022-2023,Dec,02,ANDHRA PRADESH,0206,KRISHNA,5412824,239.288944676206,39,2156,7572.47060615,12923,0,45621,5412824,2018786,113445,78354,4517,1029.54442,21554.3044529304,136806,241325,163454,304547,227,212228,605031,58544,12952.2894267804,2934432,33,71.24,63.38,103.98,NA
2022-2023,Dec,02,ANDHRA PRADESH,0207,GUNTUR,2483822,211.718535505203,36,628,2414.151870783,9512,2,16883,2483819,1152611,67787,69322,4194,668.93125,8341.78833218298,67511,113917,81081,143827,299,131262,359113,26395,5258.70521139998,1435615,26,73.21,69.4,107.92,NA
2022-2023,Dec,02,ANDHRA PRADESH,0211,Y.S.R,6109014,218.484183428974,44,2180,9015.860161841,8365,15,50226,6108735,1264524,79346,93548,5245,1883.25374,24245.7336844309,138277,221598,191216,354646,2100,258574,741630,58591,13346.6197825899,3944273,59,43.24,62.62,100.05,NA
2022-2023,Dec,02,ANDHRA PRADESH,0215,ANAKAPALLI,8465666,193.154939826038,44,3503,10548.972312677,3532,27,27708,8465622,696716,33612,323453,16225,795.44302,27696.1824126769,189209,280954,232776,381270,1269,286978,611327,31240,16351.7670799999,5831453,41,28.86,73.8,100.09,NA
2022-2023,Dec,02,ANDHRA PRADESH,0218,NTR,5690195,214.701737518137,43,2239,5298.946038265,13249,11,24151,5690138,2293605,113951,385510,20779,453.63393,17969.4051214448,129804,223733,155237,287913,279,191054,577299,37400,12216.8251531798,3374502,42,63.47,61.96,102.01,NA
2022-2023,Feb,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1435230,190.556053527252,53,191,1783.448655685,648,0,3989,1434746,119488,4257,8808,466,673.40258,5190.8465914251,26727,38610,30346,48432,816,37988,61173,4637,2733.9953557401,1068224,44,35.44,77.74,100.15,NA
2022-2023,Feb,02,ANDHRA PRADESH,0207,GUNTUR,2840134,207.946810133054,40,657,2942.251385265,9921,1,17123,2840131,1318718,67902,78891,4206,807.72982,9655.94302336501,70180,118698,81373,144267,614,131980,233249,27044,5905.96181810001,1652274,28,70.97,66.79,107.01,NA
