fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Aug,02,ANDHRA PRADESH,0219,BAPATLA,5400214,198.700671812266,34,2063,4622.322101847,1163,4,38194,5400214,2001789,135320,177342,13359,305.88595,15658.4695491471,155809,271836,200743,372397,626,251869,671376,39357,10730.2614973001,2913147,18,76.93,91.74,107.96,NA
2022-2023,March,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,11369000,236.909361492587,60,3177,20083.561353939,15542,1,53276,11827458,250234,9718,10789166,385993,1435.69557,49539.6121525429,196284,362357,215126,422593,22663,240734,495351,68818,28020.3552286039,6243341,75,55.31,68.8,101.61,NA
2022-2023,March,02,ANDHRA PRADESH,0215,ANAKAPALLI,10741000,197.282486124421,55,3707,13080.203345094,6838,25,25369,11037018,913412,33653,406036,16249,1136.62993,35990.9367794938,200058,301299,233320,381941,7517,288551,471476,32207,21774.1035043998,7732842,41,27.89,70.2,100.07,NA
2022-2023,March,02,ANDHRA PRADESH,0223,ANNAMAYYA,8115000,231.369528854126,55,1583,12130.25411314,22273,39,51102,8339224,1727938,66330,355894,12876,1350.26513,32774.9425220302,149138,231973,190828,329108,6322,251572,441227,73375,19294.4232788902,4917231,69,51.2,63.22,100.1,NA
2022-2023,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3663964,93.0834926544038,16,5958,2980.026847512,75,30,44993,3663964,465106,73901,95519,17557,9.42898,6400.001488312,225319,311386,341129,627001,0,375122,931081,45068,3410.5456608,2561805,43,38.93,90.94,100.07,NA
2022-2023,April,02,ANDHRA PRADESH,0207,GUNTUR,302865,105.776038829181,13,247,942.463745049,0,12,16548,302865,141688,67388,11326,4156,4.75823,1267.580575049,22297,34161,79913,142095,0,129148,425653,16548,320.3586,171581,15,75.1,74.09,108.99,NA
2022-2023,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,1307753,147.838246013964,17,722,4135.229125382,4,42,42078,1307690,306752,65271,52327,12515,7.60146,6076.09654468201,72837,103841,184439,319929,0,240011,757942,42082,1933.26595930001,760790,55,61.4,90.48,100.26,NA
2022-2023,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,2215648,97.1425719157557,18,3203,1743.5024535,8,34,41671,2215648,266597,45493,755548,132126,7.83436,3903.6742653,121531,193400,188565,366749,4,205953,527770,41679,2152.3374518,1311546,69,49.6,84.22,101.15,NA
2022-2023,April,02,ANDHRA PRADESH,0226,KAKINADA,768470,141.533937863547,11,1820,3556.913592099,61,18,23902,768470,228981,91684,16937,8136,3.44663,4648.006074399,69391,90488,199949,336458,0,267061,738153,23963,1087.6458523,417682,42,64.64,83.64,101.31,NA
2022-2023,July,02,ANDHRA PRADESH,0206,KRISHNA,4722413,234.807475127236,36,2074,6980.66535375,883,0,48516,4722413,1796833,113171,61563,4483,407.55614,18476.8002241303,129225,227916,162408,302895,140,210568,626488,49399,11088.5787303803,2515261,26,91.1,89.81,104.45,NA
2022-2023,July,02,ANDHRA PRADESH,0208,PRAKASAM,13308494,193.873450479621,43,4282,18928.708319729,600,19,48343,13308460,3419393,201189,318705,20125,777.03376,45507.3126874292,304636,535995,381854,721207,1579,438177,1169207,48943,25801.5706077002,7536777,34,24.62,91.73,104.5,NA
2022-2023,July,02,ANDHRA PRADESH,0209,NELLORE,6155277,195.023783819531,36,1702,14556.025686282,53,4,45647,6155260,1810826,127759,295962,23131,732.81197,27293.0586122121,167169,251538,249672,432793,782,334194,1059610,45700,12004.2209559301,3739811,26,46.72,70.17,101.27,NA
2022-2023,July,02,ANDHRA PRADESH,0211,Y.S.R,5206852,209.274323889917,40,2011,8106.126207349,502,15,46667,5206698,1068293,79048,76866,5188,744.25366,19746.6619038388,127767,203227,190083,353025,948,256354,759650,47169,10896.2820364898,3369869,50,49.3,85.27,100.05,NA
2022-2023,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7273001,230.253843951998,41,2562,14711.291938776,81,2,60451,7272980,163712,9692,6575101,384320,368.40195,31826.009908636,175695,319837,213958,420680,2319,237761,632876,60532,16746.31601986,3802492,74,73.87,90.85,101.66,NA
